created_at,id,id_string,hashtags,hashtag_count,favorited,favorite_count,retweeted,retweet_count,user_name,user_screen_name,user_id,user_id_string,user_friends_count,hashtag_list,stitchfix_boolean,stelladot_boolean
Mon Jul 31 21:15:52 +0000 2017,892131724175585280,892131724175585280,"[{'indices': [89, 99], 'text': 'conntempo'}, {'indices': [100, 110], 'text': 'stitchfix'}, {'indices': [111, 116], 'text': 'love'}]",3,False,1,False,0,Conntempo Boutique,conntempo,4912813632,4912813632,31,"conntempo, stitchfix, love",True,False
Mon Jul 31 21:25:19 +0000 2017,892134100445929472,892134100445929472,"[{'indices': [77, 92], 'text': 'stelladotstyle'}]",1,False,0,False,0,Victoria Byrd,theglamsquadmom,714571458341523456,714571458341523456,199,stelladotstyle,False,True
Mon Jul 31 21:59:02 +0000 2017,892142585959133185,892142585959133185,"[{'indices': [41, 51], 'text': 'stelladot'}, {'indices': [52, 56], 'text': 'mlm'}]",2,False,0,False,1,Emma,MLMshyster,767675601486487552,767675601486487552,176,"stelladot, mlm",False,False
Mon Jul 31 22:06:54 +0000 2017,892144567927156736,892144567927156736,"[{'indices': [94, 109], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Mon Jul 31 22:07:23 +0000 2017,892144687703896064,892144687703896064,"[{'indices': [94, 109], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Mon Jul 31 22:26:39 +0000 2017,892149537523060737,892149537523060737,"[{'indices': [75, 90], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Mon Jul 31 22:27:30 +0000 2017,892149748874051584,892149748874051584,"[{'indices': [75, 90], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Mon Jul 31 22:46:19 +0000 2017,892154483756683265,892154483756683265,"[{'indices': [69, 84], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Mon Jul 31 22:47:36 +0000 2017,892154810367176705,892154810367176705,"[{'indices': [69, 84], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Mon Jul 31 23:01:58 +0000 2017,892158424800219140,892158424800219140,"[{'indices': [3, 13], 'text': 'StitchFix'}]",1,False,1,False,0,Amberlyn,LifeAsAmberlyn,2440956954,2440956954,2642,StitchFix,True,False
Mon Jul 31 23:09:07 +0000 2017,892160223577874433,892160223577874433,"[{'indices': [49, 59], 'text': 'StitchFix'}, {'indices': [61, 71], 'text': 'TrunkClub'}, {'indices': [75, 85], 'text': 'ThirdLove'}]",3,False,0,False,1,Spencer T.,spencertullos,1895171791,1895171791,125,"StitchFix, TrunkClub, ThirdLove",True,False
Mon Jul 31 23:22:38 +0000 2017,892163626462826497,892163626462826497,"[{'indices': [84, 94], 'text': 'stelladot'}]",1,False,0,False,0,Erin Rogosienski,erogo,31025754,31025754,1090,stelladot,False,False
Mon Jul 31 23:26:44 +0000 2017,892164657582141449,892164657582141449,"[{'indices': [78, 93], 'text': 'stelladotstyle'}, {'indices': [94, 101], 'text': 'Classy'}, {'indices': [102, 107], 'text': 'Chic'}]",3,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,"stelladotstyle, Classy, Chic",False,True
Mon Jul 31 23:27:15 +0000 2017,892164786464718848,892164786464718848,"[{'indices': [78, 93], 'text': 'stelladotstyle'}, {'indices': [94, 101], 'text': 'Classy'}, {'indices': [102, 107], 'text': 'Chic'}]",3,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,"stelladotstyle, Classy, Chic",False,True
Mon Jul 31 23:46:59 +0000 2017,892169755116830720,892169755116830720,"[{'indices': [86, 101], 'text': 'stelladotstyle'}, {'indices': [102, 109], 'text': 'Classy'}, {'indices': [110, 115], 'text': 'Chic'}]",3,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,"stelladotstyle, Classy, Chic",False,True
Mon Jul 31 23:47:31 +0000 2017,892169886025351171,892169886025351171,"[{'indices': [86, 101], 'text': 'stelladotstyle'}, {'indices': [102, 109], 'text': 'Classy'}, {'indices': [110, 115], 'text': 'Chic'}]",3,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,"stelladotstyle, Classy, Chic",False,True
Tue Aug 01 00:07:01 +0000 2017,892174796255002624,892174796255002624,"[{'indices': [87, 102], 'text': 'stelladotstyle'}, {'indices': [103, 110], 'text': 'Classy'}, {'indices': [111, 116], 'text': 'Chic'}]",3,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,"stelladotstyle, Classy, Chic",False,True
Tue Aug 01 00:12:08 +0000 2017,892176080399892482,892176080399892482,"[{'indices': [87, 102], 'text': 'stelladotstyle'}, {'indices': [103, 110], 'text': 'Classy'}, {'indices': [111, 116], 'text': 'Chic'}]",3,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,"stelladotstyle, Classy, Chic",False,True
Tue Aug 01 00:17:23 +0000 2017,892177403782414336,892177403782414336,"[{'indices': [9, 19], 'text': 'stitchfix'}]",1,False,2,False,0,Dante Spencer,dantespencer,28963102,28963102,216,stitchfix,True,False
Tue Aug 01 00:26:33 +0000 2017,892179708728807424,892179708728807424,"[{'indices': [71, 86], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 00:27:23 +0000 2017,892179921971417088,892179921971417088,"[{'indices': [71, 86], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 00:46:22 +0000 2017,892184696829992960,892184696829992960,"[{'indices': [56, 71], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 00:47:18 +0000 2017,892184931861966848,892184931861966848,"[{'indices': [56, 71], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 00:48:21 +0000 2017,892185197155831808,892185197155831808,"[{'indices': [54, 62], 'text': 'excited'}, {'indices': [63, 73], 'text': 'sdstylist'}, {'indices': [74, 89], 'text': 'stelladotstyle'}, {'indices': [90, 100], 'text': 'lovemyjob'}]",4,False,1,False,0,herstorey,herstoreybyrona,281631523,281631523,172,"excited, sdstylist, stelladotstyle, lovemyjob",False,True
Tue Aug 01 00:53:50 +0000 2017,892186575781670913,892186575781670913,"[{'indices': [46, 61], 'text': 'stelladotstyle'}, {'indices': [62, 77], 'text': 'styleforasteal'}, {'indices': [78, 90], 'text': 'accessories'}]",3,False,0,False,0,Laura Reynolds,LaLaReyno,143250056,143250056,171,"stelladotstyle, styleforasteal, accessories",False,True
Tue Aug 01 01:00:06 +0000 2017,892188155184545792,892188155184545792,"[{'indices': [0, 10], 'text': 'TrunkClub'}, {'indices': [11, 33], 'text': 'UnpaidOvertimeLawsuit'}]",2,False,0,False,0,Top Class Actions,TopClassActions,20713800,20713800,265,"TrunkClub, UnpaidOvertimeLawsuit",False,False
Tue Aug 01 01:05:04 +0000 2017,892189402914533376,892189402914533376,"[{'indices': [45, 57], 'text': 'onestopshop'}, {'indices': [58, 68], 'text': 'stelladot'}, {'indices': [69, 76], 'text': 'maette'}, {'indices': [77, 83], 'text': 'swoon'}]",4,False,0,False,0,anna muir,annaskilesmuir,362178352,362178352,560,"onestopshop, stelladot, maette, swoon",False,False
Tue Aug 01 01:07:58 +0000 2017,892190134430560258,892190134430560258,"[{'indices': [80, 95], 'text': 'StellaDotstyle'}]",1,False,1,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,StellaDotstyle,False,True
Tue Aug 01 01:12:16 +0000 2017,892191214358999041,892191214358999041,"[{'indices': [80, 95], 'text': 'StellaDotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,StellaDotstyle,False,True
Tue Aug 01 01:27:02 +0000 2017,892194930478788608,892194930478788608,"[{'indices': [72, 87], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 01:27:11 +0000 2017,892194967875092480,892194967875092480,"[{'indices': [72, 87], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 01:46:23 +0000 2017,892199801718231041,892199801718231041,"[{'indices': [75, 90], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 01:47:18 +0000 2017,892200032413396993,892200032413396993,"[{'indices': [75, 90], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 02:06:51 +0000 2017,892204951363084288,892204951363084288,"[{'indices': [73, 88], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 02:07:25 +0000 2017,892205093470253056,892205093470253056,"[{'indices': [73, 88], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 02:07:35 +0000 2017,892205134687621120,892205134687621120,"[{'indices': [45, 55], 'text': 'stelladot'}]",1,False,0,False,0,Kaitlyn McCauley,kaitlynmccauley,54827567,54827567,234,stelladot,False,False
Tue Aug 01 02:26:28 +0000 2017,892209888503484416,892209888503484416,"[{'indices': [71, 86], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 02:27:26 +0000 2017,892210133308248064,892210133308248064,"[{'indices': [71, 86], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 02:46:26 +0000 2017,892214914907090944,892214914907090944,"[{'indices': [64, 74], 'text': 'stelladot'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladot,False,False
Tue Aug 01 02:47:21 +0000 2017,892215142519377920,892215142519377920,"[{'indices': [64, 74], 'text': 'stelladot'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladot,False,False
Tue Aug 01 03:07:02 +0000 2017,892220097984688129,892220097984688129,"[{'indices': [80, 95], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 03:12:48 +0000 2017,892221546927968256,892221546927968256,"[{'indices': [80, 95], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 03:26:31 +0000 2017,892225001406988293,892225001406988293,"[{'indices': [69, 84], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 03:32:36 +0000 2017,892226531673731072,892226531673731072,"[{'indices': [69, 84], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 03:46:47 +0000 2017,892230098665000960,892230098665000960,"[{'indices': [65, 80], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 03:49:45 +0000 2017,892230847092449280,892230847092449280,"[{'indices': [0, 10], 'text': 'stitchfix'}, {'indices': [11, 20], 'text': 'wardrobe'}, {'indices': [21, 29], 'text': 'fashion'}, {'indices': [30, 38], 'text': 'yasgurl'}]",4,False,0,False,0,Becca,rechjesi,57697264,57697264,1338,"stitchfix, wardrobe, fashion, yasgurl",True,False
Tue Aug 01 03:57:06 +0000 2017,892232696373673984,892232696373673984,"[{'indices': [65, 80], 'text': 'stelladotstyle'}]",1,False,1,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 04:07:32 +0000 2017,892235321362042880,892235321362042880,"[{'indices': [65, 80], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 04:12:12 +0000 2017,892236498220789761,892236498220789761,"[{'indices': [65, 80], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 04:18:19 +0000 2017,892238036997738496,892238036997738496,"[{'indices': [34, 44], 'text': 'stitchfix'}, {'indices': [53, 58], 'text': 'cats'}, {'indices': [59, 75], 'text': 'catsofinstagram'}, {'indices': [76, 82], 'text': 'crazy'}, {'indices': [83, 91], 'text': 'furbaby'}]",5,False,1,False,0,Tracey Dowling,macyd06478,3171660898,3171660898,129,"stitchfix, cats, catsofinstagram, crazy, furbaby",True,False
Tue Aug 01 04:26:53 +0000 2017,892240192479916035,892240192479916035,"[{'indices': [69, 84], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 04:28:35 +0000 2017,892240619489431552,892240619489431552,"[{'indices': [69, 84], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 04:46:56 +0000 2017,892245236260515840,892245236260515840,"[{'indices': [55, 70], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 04:47:26 +0000 2017,892245364174094336,892245364174094336,"[{'indices': [55, 70], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 05:06:46 +0000 2017,892250227436134401,892250227436134401,"[{'indices': [58, 73], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 05:07:39 +0000 2017,892250451990675460,892250451990675460,"[{'indices': [58, 73], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 05:26:29 +0000 2017,892255189524152321,892255189524152321,"[{'indices': [68, 83], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
Tue Aug 01 05:27:13 +0000 2017,892255375105437696,892255375105437696,"[{'indices': [68, 83], 'text': 'stelladotstyle'}]",1,False,0,False,0,Witney Wedd & Events,WitneyWeddEvent,765628058753785856,765628058753785856,390,stelladotstyle,False,True
Tue Aug 01 05:46:33 +0000 2017,892260241907351552,892260241907351552,"[{'indices': [73, 88], 'text': 'stelladotstyle'}]",1,False,0,False,0,STELLA & DOT by SL,stelladotsl,705781098509418496,705781098509418496,4728,stelladotstyle,False,True
